Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.08,55
Assists,0.03,21
Goals + Assists,0.11,37
Non-Penalty Goals,0.08,59
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0.03,87
Yellow Cards,0.16,69
Red Cards,0,59
xG,0.06,44
Non-Penalty xG,0.05,31
xAG,0.1,61
npxG + xAG,0.14,45
,,
Progressive Carries,2.47,86
Progressive Passes,6.89,84
Progressive Passes Rec,1.07,24
Goals,0.08,55
Shots Total,1.05,54
Shots on target,0.29,48
Shots on target %,28.20%,46
Goals/Shot,0.08,59
Goals/Shot on target,0.27,58
Average Shot Distance,23.2,32
Shots from free kicks,0.03,67
Penalty Kicks Made,0,44
Penalty Kicks Attempted,0.03,87
,,
xG,0.06,44
Non-Penalty xG,0.05,31
npxG/Sh,0.04,12
Goals - xG,0.02,64
Non-Penalty Goals - npxG,0.03,75
Passes Completed,54.51,83
Passes Attempted,61.54,78
Pass Completion %,88.60%,91
Total Passing Distance,1002.76,90
Progressive Passing Distance,277.77,82
,,
Passes Completed (Short),24.6,79
Passes Attempted (Short),27.02,78
Pass Completion % (Short),91.10%,77
,,
Passes Completed (Medium),22.14,85
Passes Attempted (Medium),23.24,77
Pass Completion % (Medium),95.30%,99
,,
Passes Completed (Long),6.75,89
Passes Attempted (Long),9.19,81
Pass Completion % (Long),73.50%,78
Assists,0.03,21
xAG,0.1,61
Expected Assists,0.05,21
Key Passes,1.13,67
Passes into Final Third,6.83,89
Passes into Penalty Area,0.38,16
Crosses into Penalty Area,0.08,45
Progressive Passes,6.89,84
Passes Attempted,61.54,78
,,
Live-ball passes,59.77,81
Dead-ball passes,1.69,46
Passes from Free Kicks,1.13,49
Through Balls,0.05,21
Switches,1.66,98
Crosses,1.23,63
Throw-Ins taken,0.08,25
Corner Kicks,0.48,69
,,
Inswinging Corner Kicks,0.38,76
Outswinging Corner Kicks,0.03,59
Straight Corner Kicks,0,45
,,
Passes Completed,54.51,83
Passes Offside,0.08,86
Passes Blocked,0.72,68
Shot-Creating Actions,2.68,63
,,
SCA (PassLive),2.3,75
SCA (PassDead),0.13,67
SCA (TO),0.03,31
SCA (Sh),0.08,43
SCA (Fld),0.05,33
SCA (Def),0.08,78
,,
Goal-Creating Actions,0.16,36
,,
GCA (PassLive),0.16,50
GCA (PassDead),0,39
GCA (TO),0,42
GCA (Sh),0,37
GCA (Fld),0,38
GCA (Def),0,44
Tackles,2.17,57
Tackles Won,0.96,28
Tackles (Def 3rd),1.18,83
Tackles (Mid 3rd),0.94,47
Tackles (Att 3rd),0.05,3
,,
Dribblers Tackled,0.83,43
Dribbles Challenged,1.31,11
% of dribblers tackled,63.30%,94
Challenges Lost,0.48,97
,,
Blocks,1.26,54
Shots Blocked,0.51,93
Passes Blocked,0.75,29
,,
Interceptions,1.9,96
Tkl+Int,4.07,80
Clearances,1.72,87
Errors,0.03,40
Touches,71.27,79
Touches (Def Pen),3.59,93
Touches (Def 3rd),19.54,93
Touches (Mid 3rd),41.27,76
Touches (Att 3rd),11.55,40
Touches (Att Pen),0.8,34
Touches (Live-Ball),71.24,78
,,
Take-Ons Attempted,1.42,54
Successful Take-Ons,0.83,62
Successful Take-On %,58.50%,73
Times Tackled During Take-On,0.51,48
Tackled During Take-On Percentage,35.80%,57
,,
Carries,42.4,71
Total Carrying Distance,264.64,85
Progressive Carrying Distance,139.42,90
,,
Progressive Carries,2.47,86
Carries into Final Third,2.22,88
Carries into Penalty Area,0.19,57
Miscontrols,0.72,91
Dispossessed,0.83,51
,,
Passes Received,48.62,72
Progressive Passes Rec,1.07,24
Yellow Cards,0.16,69
Red Cards,0,59
Second Yellow Card,0,55
Fouls Committed,0.59,97
Fouls Drawn,0.24,1
Offsides,0.03,61
Crosses,1.23,63
,,
Interceptions,1.9,96
Tackles Won,0.96,28
Penalty Kicks Won,0,44
Penalty Kicks Conceded,0,60
Own Goals,0,54
Ball Recoveries,8.23,92
,,
Aerials won,1.18,69
Aerials lost,0.72,67
% of Aerials Won,62.00%,89
